draw,chain,district,total_pop,plan_dev,comp_edge,comp_polsby,nv_ldp,nv_komei,nv_ruling,nv_cdp,nv_opp_coalition_4,nv_opp_coalition_5,nv_opp_all,ldp_share,komei_share,ruling_share,ldp_v_komei,ldp_v_cdp,ruling_v_cdp,ruling_v_opp_coalition_4,ruling_v_opp_coalition_5,ruling_v_opp_all,seats_ldp_v_cdp,seats_ruling_v_cdp,seats_ruling_v_opp_coalition_4,seats_ruling_v_opp_coalition_5,seats_ruling_v_opp_all,egap_ldp_v_cdp,egap_ruling_v_cdp,egap_ruling_v_opp_coalition_4,egap_ruling_v_opp_coalition_5,egap_ruling_v_opp_all,pbias_ldp_v_cdp,pbias_ruling_v_cdp,pbias_ruling_v_opp_coalition_4,pbias_ruling_v_opp_coalition_5,pbias_ruling_v_opp_all,max_to_min,gun_split,num_mun_split,mun_split,multi,koiki_split,valid
72055,4,1,422186,0.17036,0.8565,0.08636,147639,25547,173186,66008,106220,121969,138396,0.4554,0.07880,0.5342,0.8525,0.6911,0.7241,0.6198,0.5868,0.5558,4,4,4,4,4,-0.1564,-0.08481,-0.2986,-0.3677,-0.4344, 0.00, 0.00, 0.00, 0.00, 0.00,1.404,0,1,1,0,2,TRUE
72055,4,2,316300,0.17036,0.8565,0.25096, 75635,14397, 90032,41335, 66360, 76157, 87520,0.4078,0.07762,0.4854,0.8401,0.6466,0.6854,0.5757,0.5417,0.5071,4,4,4,4,4,-0.1564,-0.08481,-0.2986,-0.3677,-0.4344, 0.00, 0.00, 0.00, 0.00, 0.00,1.404,0,1,1,0,2,TRUE
72055,4,3,342408,0.17036,0.8565,0.07427, 74272,17063, 91335,38469, 63206, 72321, 84109,0.4045,0.09293,0.4974,0.8132,0.6588,0.7036,0.5910,0.5581,0.5206,4,4,4,4,4,-0.1564,-0.08481,-0.2986,-0.3677,-0.4344, 0.00, 0.00, 0.00, 0.00, 0.00,1.404,0,1,1,0,2,TRUE
72055,4,4,444111,0.17036,0.8565,0.06816,133020,21486,154506,64561,102569,119619,136340,0.4401,0.07109,0.5112,0.8610,0.6733,0.7053,0.6010,0.5636,0.5312,4,4,4,4,4,-0.1564,-0.08481,-0.2986,-0.3677,-0.4344, 0.00, 0.00, 0.00, 0.00, 0.00,1.404,0,1,1,0,2,TRUE
72086,4,1,339456,0.10963,0.8380,0.06680,125705,19297,145002,54663, 88205,102993,116464,0.4632,0.07110,0.5343,0.8670,0.6969,0.7262,0.6218,0.5847,0.5546,4,4,4,4,3,-0.1564,-0.08481,-0.2986,-0.3677,-0.2380, 0.00, 0.00,-0.25,-0.25, 0.00,1.207,0,0,0,0,3,TRUE
72086,4,2,409696,0.10963,0.8380,0.14257,119675,21207,140882,57784, 91885,105589,120022,0.4406,0.07807,0.5186,0.8495,0.6744,0.7092,0.6053,0.5716,0.5400,4,4,4,4,3,-0.1564,-0.08481,-0.2986,-0.3677,-0.2380, 0.00, 0.00,-0.25,-0.25, 0.00,1.207,0,0,0,0,3,TRUE
72086,4,3,383735,0.10963,0.8380,0.04084,109295,20749,130044,54466, 87075,100211,115377,0.4270,0.08107,0.5081,0.8405,0.6674,0.7048,0.5990,0.5648,0.5299,4,4,4,4,3,-0.1564,-0.08481,-0.2986,-0.3677,-0.2380, 0.00, 0.00,-0.25,-0.25, 0.00,1.207,0,0,0,0,3,TRUE
72086,4,4,392118,0.10963,0.8380,0.16089, 75891,17241, 93132,43460, 71189, 81274, 94503,0.3861,0.08771,0.4738,0.8149,0.6359,0.6818,0.5668,0.5340,0.4963,4,4,4,4,3,-0.1564,-0.08481,-0.2986,-0.3677,-0.2380, 0.00, 0.00,-0.25,-0.25, 0.00,1.207,0,0,0,0,3,TRUE
72124,4,1,442243,0.17439,0.8565,0.14839,130066,25207,155273,64571,102409,117636,134087,0.4315,0.08362,0.5151,0.8377,0.6683,0.7063,0.6026,0.5690,0.5366,4,4,4,4,4,-0.1564,-0.08481,-0.2986,-0.3677,-0.4344, 0.25, 0.25, 0.00, 0.00, 0.00,1.413,0,1,1,0,2,TRUE
72124,4,2,318121,0.17439,0.8565,0.06084, 85220,15760,100980,42229, 67767, 79784, 91426,0.4251,0.07861,0.5037,0.8440,0.6687,0.7051,0.5984,0.5586,0.5248,4,4,4,4,4,-0.1564,-0.08481,-0.2986,-0.3677,-0.4344, 0.25, 0.25, 0.00, 0.00, 0.00,1.413,0,1,1,0,2,TRUE
