draw,chain,district,total_pop,plan_dev,comp_edge,comp_polsby,nv_ldp,nv_komei,nv_ruling,nv_cdp,nv_opp_coalition_4,nv_opp_coalition_5,nv_opp_all,ldp_share,komei_share,ruling_share,ldp_v_komei,ldp_v_cdp,ruling_v_cdp,ruling_v_opp_coalition_4,ruling_v_opp_coalition_5,ruling_v_opp_all,seats_ldp_v_cdp,seats_ruling_v_cdp,seats_ruling_v_opp_coalition_4,seats_ruling_v_opp_coalition_5,seats_ruling_v_opp_all,egap_ldp_v_cdp,egap_ruling_v_cdp,egap_ruling_v_opp_coalition_4,egap_ruling_v_opp_coalition_5,egap_ruling_v_opp_all,pbias_ldp_v_cdp,pbias_ruling_v_cdp,pbias_ruling_v_opp_coalition_4,pbias_ruling_v_opp_coalition_5,pbias_ruling_v_opp_all,max_to_min,gun_split,num_mun_split,mun_split,multi,koiki_split,valid
21704,2,2,342343,0.19431,0.8544,0.24719, 77244,23818,101062,30200,55872, 74534, 95007,0.3728,0.1149,0.4877,0.7644,0.7190,0.7700,0.6440,0.5755,0.5154,4,4,4,4,4,-0.001548,0.08832,-0.1623,-0.2987,-0.4208,0.00, 0.00,0.00, 0.00, 0.00,1.377,0,0,0,0,1,TRUE
21704,2,3,320954,0.19431,0.8544,0.23816, 75369,18452, 93821,21138,40811, 57440, 74545,0.4243,0.1039,0.5281,0.8034,0.7810,0.8162,0.6969,0.6203,0.5573,4,4,4,4,4,-0.001548,0.08832,-0.1623,-0.2987,-0.4208,0.00, 0.00,0.00, 0.00, 0.00,1.377,0,0,0,0,1,TRUE
21704,2,4,441904,0.19431,0.8544,0.14209,117414,31244,148658,36696,70045, 94116,120046,0.4144,0.1103,0.5247,0.7899,0.7619,0.8020,0.6797,0.6123,0.5532,4,4,4,4,4,-0.001548,0.08832,-0.1623,-0.2987,-0.4208,0.00, 0.00,0.00, 0.00, 0.00,1.377,0,0,0,0,1,TRUE
21723,2,1,399739,0.14963,0.8641,0.21337, 90081,22983,113063,25487,49291, 69265, 90487,0.4187,0.1068,0.5255,0.7968,0.7795,0.8161,0.6964,0.6201,0.5555,4,4,4,4,4,-0.001548,0.08832,-0.1623,-0.2987,-0.4208,0.00, 0.00,0.00, 0.00, 0.00,1.270,0,0,0,0,1,TRUE
21723,2,2,390046,0.14963,0.8641,0.11364, 66040,24519, 90560,24464,48123, 62485, 80824,0.3628,0.1347,0.4975,0.7293,0.7297,0.7873,0.6530,0.5917,0.5284,4,4,4,4,4,-0.001548,0.08832,-0.1623,-0.2987,-0.4208,0.00, 0.00,0.00, 0.00, 0.00,1.270,0,0,0,0,1,TRUE
21723,2,3,375601,0.14963,0.8641,0.26016,106147,27094,133240,32891,60870, 81495,104048,0.4243,0.1083,0.5326,0.7967,0.7635,0.8021,0.6864,0.6205,0.5615,4,4,4,4,4,-0.001548,0.08832,-0.1623,-0.2987,-0.4208,0.00, 0.00,0.00, 0.00, 0.00,1.270,0,0,0,0,1,TRUE
21723,2,4,314644,0.14963,0.8641,0.23463, 71167,22546, 93714,28775,54889, 73058, 92052,0.3632,0.1151,0.4782,0.7594,0.7121,0.7651,0.6306,0.5619,0.5045,4,4,4,4,4,-0.001548,0.08832,-0.1623,-0.2987,-0.4208,0.00, 0.00,0.00, 0.00, 0.00,1.270,0,0,0,0,1,TRUE
21728,2,1,430768,0.16421,0.8544,0.11489, 69869,25661, 95531,25732,50814, 66528, 86846,0.3601,0.1323,0.4924,0.7314,0.7308,0.7878,0.6528,0.5895,0.5238,4,4,4,4,4,-0.001551,0.08832,-0.1623,-0.2987,-0.4208,0.00, 0.00,0.00, 0.00, 0.00,1.374,0,0,0,0,2,TRUE
21728,2,2,313491,0.16421,0.8544,0.15757, 66044,21057, 87102,26976,50178, 66697, 85068,0.3626,0.1156,0.4782,0.7583,0.7100,0.7635,0.6345,0.5663,0.5059,4,4,4,4,4,-0.001551,0.08832,-0.1623,-0.2987,-0.4208,0.00, 0.00,0.00, 0.00, 0.00,1.374,0,0,0,0,2,TRUE
21728,2,3,414817,0.16421,0.8544,0.14851,122153,31971,154124,37772,71370, 95637,120952,0.4220,0.1104,0.5324,0.7926,0.7638,0.8032,0.6835,0.6171,0.5603,4,4,4,4,4,-0.001551,0.08832,-0.1623,-0.2987,-0.4208,0.00, 0.00,0.00, 0.00, 0.00,1.374,0,0,0,0,2,TRUE
