draw,chain,district,total_pop,plan_dev,comp_edge,comp_polsby,nv_ldp,nv_komei,nv_ruling,nv_cdp,nv_opp_coalition_4,nv_opp_coalition_5,nv_opp_all,ldp_share,komei_share,ruling_share,ldp_v_komei,ldp_v_cdp,ruling_v_cdp,ruling_v_opp_coalition_4,ruling_v_opp_coalition_5,ruling_v_opp_all,seats_ldp_v_cdp,seats_ruling_v_cdp,seats_ruling_v_opp_coalition_4,seats_ruling_v_opp_coalition_5,seats_ruling_v_opp_all,egap_ldp_v_cdp,egap_ruling_v_cdp,egap_ruling_v_opp_coalition_4,egap_ruling_v_opp_coalition_5,egap_ruling_v_opp_all,pbias_ldp_v_cdp,pbias_ruling_v_cdp,pbias_ruling_v_opp_coalition_4,pbias_ruling_v_opp_coalition_5,pbias_ruling_v_opp_all,mun_split,gun_split,koiki_split,max_to_min
209,1,1,351397,0.2486,0.8571,0.22460, 75880,24059, 99939,29374,47973,61126, 77985,0.4062,0.1288,0.5351,0.7593,0.7210,0.7729,0.6757,0.6205,0.5617,4,4,4,4,4,-0.06764,0.03399,-0.1692,-0.2905,-0.403, 0.00, 0.00, 0.00, 0.00, 0.00,1,0,1,1.606
209,1,2,453274,0.2486,0.8571,0.11218, 77498,21405, 98903,33187,53946,71440, 90503,0.3875,0.1070,0.4945,0.7836,0.7002,0.7488,0.6471,0.5806,0.5222,4,4,4,4,4,-0.06764,0.03399,-0.1692,-0.2905,-0.403, 0.00, 0.00, 0.00, 0.00, 0.00,1,0,1,1.606
209,1,3,415344,0.2486,0.8571,0.08327, 86180,27874,114054,31336,54620,68989, 86135,0.4094,0.1324,0.5419,0.7556,0.7334,0.7845,0.6762,0.6231,0.5697,4,4,4,4,4,-0.06764,0.03399,-0.1692,-0.2905,-0.403, 0.00, 0.00, 0.00, 0.00, 0.00,1,0,1,1.606
209,1,4,282187,0.2486,0.8571,0.06264, 47520,14076, 61596,19880,31802,43202, 53624,0.3916,0.1160,0.5076,0.7715,0.7051,0.7560,0.6595,0.5878,0.5346,4,4,4,4,4,-0.06764,0.03399,-0.1692,-0.2905,-0.403, 0.00, 0.00, 0.00, 0.00, 0.00,1,0,1,1.606
210,1,1,310867,0.3149,0.8214,0.20080, 75309,23285, 98593,28289,46372,58607, 73689,0.4170,0.1289,0.5460,0.7639,0.7270,0.7771,0.6801,0.6272,0.5723,4,4,4,4,4,-0.06764,0.03399,-0.1692,-0.2905,-0.403, 0.00, 0.00, 0.00, 0.00, 0.00,0,0,0,1.588
210,1,2,493804,0.3149,0.8214,0.16978, 78069,22179,100249,34272,55547,73959, 94800,0.3786,0.1076,0.4862,0.7788,0.6949,0.7452,0.6435,0.5755,0.5140,4,4,4,4,4,-0.06764,0.03399,-0.1692,-0.2905,-0.403, 0.00, 0.00, 0.00, 0.00, 0.00,0,0,0,1.588
210,1,3,365487,0.3149,0.8214,0.11078, 75984,24898,100883,27314,47819,60310, 75438,0.4097,0.1342,0.5439,0.7532,0.7356,0.7870,0.6784,0.6259,0.5722,4,4,4,4,4,-0.06764,0.03399,-0.1692,-0.2905,-0.403, 0.00, 0.00, 0.00, 0.00, 0.00,0,0,0,1.588
210,1,4,332044,0.3149,0.8214,0.05545, 57715,17052, 74767,23902,38602,51880, 64322,0.3943,0.1165,0.5108,0.7720,0.7072,0.7578,0.6595,0.5904,0.5376,4,4,4,4,4,-0.06764,0.03399,-0.1692,-0.2905,-0.403, 0.00, 0.00, 0.00, 0.00, 0.00,0,0,0,1.588
212,1,1,270664,0.2793,0.8512,0.10191, 49870,14703, 64573,19958,32119,43423, 53590,0.4015,0.1184,0.5199,0.7723,0.7142,0.7639,0.6678,0.5979,0.5465,4,4,4,4,4,-0.06764,0.03399,-0.1692,-0.2905,-0.403, 0.00, 0.00,-0.25, 0.00, 0.00,1,0,1,1.715
212,1,2,351397,0.2793,0.8512,0.22460, 75880,24059, 99939,29374,47973,61126, 77985,0.4062,0.1288,0.5351,0.7593,0.7210,0.7729,0.6757,0.6205,0.5617,4,4,4,4,4,-0.06764,0.03399,-0.1692,-0.2905,-0.403, 0.00, 0.00,-0.25, 0.00, 0.00,1,0,1,1.715
212,1,3,415927,0.2793,0.8512,0.19787, 65279,18521, 83800,28982,47116,62510, 79663,0.3775,0.1071,0.4846,0.7790,0.6925,0.7430,0.6401,0.5728,0.5127,4,4,4,4,4,-0.06764,0.03399,-0.1692,-0.2905,-0.403, 0.00, 0.00,-0.25, 0.00, 0.00,1,0,1,1.715
212,1,4,464214,0.2793,0.8512,0.06464, 96049,30131,126180,35463,61132,77697, 97010,0.4092,0.1284,0.5376,0.7612,0.7304,0.7806,0.6736,0.6189,0.5654,4,4,4,4,4,-0.06764,0.03399,-0.1692,-0.2905,-0.403, 0.00, 0.00,-0.25, 0.00, 0.00,1,0,1,1.715
219,1,1,455580,0.2986,0.8452,0.30960, 71502,20287, 91789,31745,51608,68469, 87258,0.3775,0.1071,0.4846,0.7790,0.6925,0.7430,0.6401,0.5728,0.5127,4,4,4,4,4,-0.06764,0.03399,-0.1692,-0.2905,-0.403, 0.00, 0.00, 0.00, 0.00, 0.00,1,0,0,1.730
219,1,2,349091,0.2986,0.8452,0.25629, 81876,25177,107053,30816,50311,64096, 81231,0.4148,0.1276,0.5424,0.7649,0.7266,0.7765,0.6803,0.6255,0.5686,4,4,4,4,4,-0.06764,0.03399,-0.1692,-0.2905,-0.403, 0.00, 0.00, 0.00, 0.00, 0.00,1,0,0,1.730
219,1,3,434128,0.2986,0.8452,0.04855, 78989,23477,102466,31416,51720,69037, 85263,0.4003,0.1190,0.5193,0.7709,0.7155,0.7654,0.6646,0.5975,0.5458,4,4,4,4,4,-0.06764,0.03399,-0.1692,-0.2905,-0.403, 0.00, 0.00, 0.00, 0.00, 0.00,1,0,0,1.730
219,1,4,263403,0.2986,0.8452,0.14245, 54710,18473, 73183,19800,34701,43153, 54496,0.4068,0.1374,0.5441,0.7476,0.7343,0.7871,0.6783,0.6291,0.5732,4,4,4,4,4,-0.06764,0.03399,-0.1692,-0.2905,-0.403, 0.00, 0.00, 0.00, 0.00, 0.00,1,0,0,1.730
222,1,1,252572,0.3275,0.8571,0.20124, 52453,17791, 70244,19003,33310,41333, 52275,0.4063,0.1378,0.5442,0.7467,0.7341,0.7871,0.6783,0.6296,0.5733,4,4,4,4,4,-0.06764,0.03399,-0.1692,-0.2905,-0.403,-0.25, 0.00,-0.25, 0.00, 0.00,0,0,0,1.910
222,1,2,311744,0.3275,0.8571,0.28414, 69657,22293, 91950,26611,43481,55166, 70391,0.4090,0.1309,0.5399,0.7576,0.7236,0.7756,0.6790,0.6250,0.5664,4,4,4,4,4,-0.06764,0.03399,-0.1692,-0.2905,-0.403,-0.25, 0.00,-0.25, 0.00, 0.00,0,0,0,1.910
222,1,3,455580,0.3275,0.8571,0.30960, 71502,20287, 91789,31745,51608,68469, 87258,0.3775,0.1071,0.4846,0.7790,0.6925,0.7430,0.6401,0.5728,0.5127,4,4,4,4,4,-0.06764,0.03399,-0.1692,-0.2905,-0.403,-0.25, 0.00,-0.25, 0.00, 0.00,0,0,0,1.910
222,1,4,482306,0.3275,0.8571,0.04847, 93466,27043,120508,36418,59942,79788, 98325,0.4067,0.1177,0.5243,0.7756,0.7196,0.7680,0.6678,0.6017,0.5507,4,4,4,4,4,-0.06764,0.03399,-0.1692,-0.2905,-0.403,-0.25, 0.00,-0.25, 0.00, 0.00,0,0,0,1.910
226,1,1,415344,0.2947,0.8512,0.08327, 86180,27874,114054,31336,54620,68989, 86135,0.4094,0.1324,0.5419,0.7556,0.7334,0.7845,0.6762,0.6231,0.5697,4,4,4,4,4,-0.06764,0.03399,-0.1692,-0.2905,-0.403, 0.00, 0.00, 0.00, 0.00, 0.00,2,0,1,1.753
226,1,2,357682,0.2947,0.8512,0.22503, 83224,25560,108784,31415,51284,65388, 82876,0.4141,0.1272,0.5413,0.7651,0.7260,0.7760,0.6796,0.6246,0.5676,4,4,4,4,4,-0.06764,0.03399,-0.1692,-0.2905,-0.403, 0.00, 0.00, 0.00, 0.00, 0.00,2,0,1,1.753
226,1,3,464317,0.2947,0.8512,0.19156, 73653,20705, 94358,32610,52944,70266, 89468,0.3788,0.1065,0.4853,0.7806,0.6931,0.7432,0.6406,0.5732,0.5133,4,4,4,4,4,-0.06764,0.03399,-0.1692,-0.2905,-0.403, 0.00, 0.00, 0.00, 0.00, 0.00,2,0,1,1.753
226,1,4,264859,0.2947,0.8512,0.07256, 44020,13276, 57296,18417,29493,40114, 49768,0.3904,0.1177,0.5082,0.7683,0.7050,0.7568,0.6602,0.5882,0.5352,4,4,4,4,4,-0.06764,0.03399,-0.1692,-0.2905,-0.403, 0.00, 0.00, 0.00, 0.00, 0.00,2,0,1,1.753
229,1,1,499303,0.3295,0.8333,0.14779, 84117,23916,108032,37455,60541,79405,100526,0.3821,0.1086,0.4907,0.7786,0.6919,0.7426,0.6409,0.5764,0.5180,4,4,4,4,4,-0.06764,0.03399,-0.1692,-0.2905,-0.403, 0.00, 0.00, 0.00, 0.00, 0.00,0,0,0,1.660
229,1,2,305368,0.3295,0.8333,0.35963, 69261,21548, 90809,25107,41378,53161, 67963,0.4156,0.1293,0.5449,0.7628,0.7340,0.7834,0.6870,0.6308,0.5720,4,4,4,4,4,-0.06764,0.03399,-0.1692,-0.2905,-0.403, 0.00, 0.00, 0.00, 0.00, 0.00,0,0,0,1.660
229,1,3,396665,0.3295,0.8333,0.05994, 72632,21197, 93829,30460,48354,63953, 79231,0.3992,0.1165,0.5157,0.7741,0.7045,0.7549,0.6599,0.5947,0.5422,4,4,4,4,4,-0.06764,0.03399,-0.1692,-0.2905,-0.403, 0.00, 0.00, 0.00, 0.00, 0.00,0,0,0,1.660
229,1,4,300866,0.3295,0.8333,0.13799, 61067,20753, 81820,20755,38068,48238, 60529,0.4074,0.1385,0.5459,0.7464,0.7464,0.7977,0.6825,0.6291,0.5748,4,4,4,4,4,-0.06764,0.03399,-0.1692,-0.2905,-0.403, 0.00, 0.00, 0.00, 0.00, 0.00,0,0,0,1.660
240,1,1,252572,0.3275,0.8452,0.20124, 52453,17791, 70244,19003,33310,41333, 52275,0.4063,0.1378,0.5442,0.7467,0.7341,0.7871,0.6783,0.6296,0.5733,4,4,4,4,4,-0.06764,0.03399,-0.1692,-0.2905,-0.403, 0.00, 0.00, 0.00, 0.00, 0.00,0,0,0,1.952
240,1,2,311744,0.3275,0.8452,0.28414, 69657,22293, 91950,26611,43481,55166, 70391,0.4090,0.1309,0.5399,0.7576,0.7236,0.7756,0.6790,0.6250,0.5664,4,4,4,4,4,-0.06764,0.03399,-0.1692,-0.2905,-0.403, 0.00, 0.00, 0.00, 0.00, 0.00,0,0,0,1.952
240,1,3,444959,0.3275,0.8452,0.04645, 81247,24159,105405,32213,53112,70858, 87485,0.4007,0.1192,0.5199,0.7708,0.7161,0.7659,0.6650,0.5980,0.5465,4,4,4,4,4,-0.06764,0.03399,-0.1692,-0.2905,-0.403, 0.00, 0.00, 0.00, 0.00, 0.00,0,0,0,1.952
240,1,4,492927,0.3275,0.8452,0.13916, 83721,23171,106892,35950,58438,77399, 98098,0.3867,0.1070,0.4937,0.7832,0.6996,0.7483,0.6465,0.5800,0.5215,4,4,4,4,4,-0.06764,0.03399,-0.1692,-0.2905,-0.403, 0.00, 0.00, 0.00, 0.00, 0.00,0,0,0,1.952
251,1,1,255062,0.3295,0.8155,0.34800, 52454,17271, 69725,19269,31909,41015, 53166,0.4059,0.1336,0.5395,0.7523,0.7314,0.7835,0.6861,0.6296,0.5674,4,4,4,4,4,-0.06764,0.03399,-0.1692,-0.2905,-0.403, 0.00, 0.00, 0.00, 0.00, 0.00,1,0,0,1.958
251,1,2,499303,0.3295,0.8155,0.14779, 84117,23916,108032,37455,60541,79405,100526,0.3821,0.1086,0.4907,0.7786,0.6919,0.7426,0.6409,0.5764,0.5180,4,4,4,4,4,-0.06764,0.03399,-0.1692,-0.2905,-0.403, 0.00, 0.00, 0.00, 0.00, 0.00,1,0,0,1.958
251,1,3,456109,0.3295,0.8155,0.05218, 91344,26049,117393,36971,58996,77634, 95903,0.4079,0.1163,0.5243,0.7781,0.7119,0.7605,0.6655,0.6019,0.5504,4,4,4,4,4,-0.06764,0.03399,-0.1692,-0.2905,-0.403, 0.00, 0.00, 0.00, 0.00, 0.00,1,0,0,1.958
251,1,4,291728,0.3295,0.8155,0.10371, 59163,20178, 79341,20083,36894,46702, 58654,0.4071,0.1389,0.5460,0.7457,0.7466,0.7980,0.6826,0.6295,0.5750,4,4,4,4,4,-0.06764,0.03399,-0.1692,-0.2905,-0.403, 0.00, 0.00, 0.00, 0.00, 0.00,1,0,0,1.958
257,1,1,415927,0.3275,0.8750,0.19787, 65279,18521, 83800,28982,47116,62510, 79663,0.3775,0.1071,0.4846,0.7790,0.6925,0.7430,0.6401,0.5728,0.5127,4,4,4,4,4,-0.06764,0.03399,-0.1692,-0.2905,-0.403,-0.25,-0.25,-0.25, 0.00,-0.25,1,0,0,1.910
257,1,2,351397,0.3275,0.8750,0.22460, 75880,24059, 99939,29374,47973,61126, 77985,0.4062,0.1288,0.5351,0.7593,0.7210,0.7729,0.6757,0.6205,0.5617,4,4,4,4,4,-0.06764,0.03399,-0.1692,-0.2905,-0.403,-0.25,-0.25,-0.25, 0.00,-0.25,1,0,0,1.910
257,1,3,482306,0.3275,0.8750,0.04847, 93466,27043,120508,36418,59942,79788, 98325,0.4067,0.1177,0.5243,0.7756,0.7196,0.7680,0.6678,0.6017,0.5507,4,4,4,4,4,-0.06764,0.03399,-0.1692,-0.2905,-0.403,-0.25,-0.25,-0.25, 0.00,-0.25,1,0,0,1.910
257,1,4,252572,0.3275,0.8750,0.20124, 52453,17791, 70244,19003,33310,41333, 52275,0.4063,0.1378,0.5442,0.7467,0.7341,0.7871,0.6783,0.6296,0.5733,4,4,4,4,4,-0.06764,0.03399,-0.1692,-0.2905,-0.403,-0.25,-0.25,-0.25, 0.00,-0.25,1,0,0,1.910
260,1,1,408419,0.2131,0.8333,0.23785, 93808,28329,122137,35153,57130,73479, 92853,0.4161,0.1257,0.5417,0.7681,0.7274,0.7765,0.6813,0.6244,0.5681,4,4,4,4,4,-0.06764,0.03399,-0.1692,-0.2905,-0.403, 0.00, 0.00, 0.00, 0.00, 0.00,0,0,0,1.514
260,1,2,455580,0.2131,0.8333,0.30960, 71502,20287, 91789,31745,51608,68469, 87258,0.3775,0.1071,0.4846,0.7790,0.6925,0.7430,0.6401,0.5728,0.5127,4,4,4,4,4,-0.06764,0.03399,-0.1692,-0.2905,-0.403, 0.00, 0.00, 0.00, 0.00, 0.00,0,0,0,1.514
260,1,3,337337,0.2131,0.8333,0.06355, 60701,18045, 78745,26124,41534,54570, 67609,0.3945,0.1173,0.5118,0.7709,0.6991,0.7509,0.6547,0.5907,0.5380,4,4,4,4,4,-0.06764,0.03399,-0.1692,-0.2905,-0.403, 0.00, 0.00, 0.00, 0.00, 0.00,0,0,0,1.514
260,1,4,300866,0.2131,0.8333,0.13799, 61067,20753, 81820,20755,38068,48238, 60529,0.4074,0.1385,0.5459,0.7464,0.7464,0.7977,0.6825,0.6291,0.5748,4,4,4,4,4,-0.06764,0.03399,-0.1692,-0.2905,-0.403, 0.00, 0.00, 0.00, 0.00, 0.00,0,0,0,1.514
265,1,1,439904,0.1714,0.8274,0.12032, 69571,20001, 89572,30634,49749,67001, 85131,0.3767,0.1083,0.4850,0.7767,0.6943,0.7452,0.6429,0.5721,0.5127,4,4,4,4,4,-0.06764,0.03399,-0.1692,-0.2905,-0.403, 0.00, 0.00, 0.00, 0.00, 0.00,2,0,0,1.295
265,1,2,377579,0.1714,0.8274,0.12269, 82007,26536,108543,30695,52688,65930, 82217,0.4092,0.1324,0.5416,0.7555,0.7277,0.7796,0.6732,0.6221,0.5690,4,4,4,4,4,-0.06764,0.03399,-0.1692,-0.2905,-0.403, 0.00, 0.00, 0.00, 0.00, 0.00,2,0,0,1.295
265,1,3,345021,0.1714,0.8274,0.26526, 75485,23314, 98799,27870,45870,59120, 75558,0.4122,0.1273,0.5395,0.7641,0.7304,0.7800,0.6830,0.6256,0.5667,4,4,4,4,4,-0.06764,0.03399,-0.1692,-0.2905,-0.403, 0.00, 0.00, 0.00, 0.00, 0.00,2,0,0,1.295
265,1,4,339698,0.1714,0.8274,0.04423, 60015,17562, 77577,24578,40034,52705, 65343,0.3991,0.1168,0.5158,0.7736,0.7095,0.7594,0.6596,0.5955,0.5428,4,4,4,4,4,-0.06764,0.03399,-0.1692,-0.2905,-0.403, 0.00, 0.00, 0.00, 0.00, 0.00,2,0,0,1.295
271,1,1,305368,0.3295,0.8631,0.35963, 69261,21548, 90809,25107,41378,53161, 67963,0.4156,0.1293,0.5449,0.7628,0.7340,0.7834,0.6870,0.6308,0.5720,4,4,4,4,4,-0.06764,0.03399,-0.1692,-0.2905,-0.403, 0.00, 0.00, 0.00, 0.00, 0.00,0,0,0,1.977
271,1,2,499303,0.3295,0.8631,0.14779, 84117,23916,108032,37455,60541,79405,100526,0.3821,0.1086,0.4907,0.7786,0.6919,0.7426,0.6409,0.5764,0.5180,4,4,4,4,4,-0.06764,0.03399,-0.1692,-0.2905,-0.403, 0.00, 0.00, 0.00, 0.00, 0.00,0,0,0,1.977
271,1,3,444959,0.3295,0.8631,0.04645, 81247,24159,105405,32213,53112,70858, 87485,0.4007,0.1192,0.5199,0.7708,0.7161,0.7659,0.6650,0.5980,0.5465,4,4,4,4,4,-0.06764,0.03399,-0.1692,-0.2905,-0.403, 0.00, 0.00, 0.00, 0.00, 0.00,0,0,0,1.977
271,1,4,252572,0.3295,0.8631,0.20124, 52453,17791, 70244,19003,33310,41333, 52275,0.4063,0.1378,0.5442,0.7467,0.7341,0.7871,0.6783,0.6296,0.5733,4,4,4,4,4,-0.06764,0.03399,-0.1692,-0.2905,-0.403, 0.00, 0.00, 0.00, 0.00, 0.00,0,0,0,1.977
273,1,1,453274,0.2486,0.8393,0.11218, 77498,21405, 98903,33187,53946,71440, 90503,0.3875,0.1070,0.4945,0.7836,0.7002,0.7488,0.6471,0.5806,0.5222,4,4,4,4,4,-0.06764,0.03399,-0.1692,-0.2905,-0.403, 0.00, 0.00, 0.00, 0.00, 0.00,1,0,1,1.606
273,1,2,282187,0.2486,0.8393,0.06264, 47520,14076, 61596,19880,31802,43202, 53624,0.3916,0.1160,0.5076,0.7715,0.7051,0.7560,0.6595,0.5878,0.5346,4,4,4,4,4,-0.06764,0.03399,-0.1692,-0.2905,-0.403, 0.00, 0.00, 0.00, 0.00, 0.00,1,0,1,1.606
273,1,3,350723,0.2486,0.8393,0.08147, 71263,23729, 94991,24777,44869,56916, 71226,0.4075,0.1357,0.5431,0.7502,0.7420,0.7931,0.6792,0.6253,0.5715,4,4,4,4,4,-0.06764,0.03399,-0.1692,-0.2905,-0.403, 0.00, 0.00, 0.00, 0.00, 0.00,1,0,1,1.606
273,1,4,416018,0.2486,0.8393,0.22584, 90798,28204,119001,35933,57724,73198, 92895,0.4083,0.1268,0.5351,0.7630,0.7165,0.7681,0.6734,0.6192,0.5616,4,4,4,4,4,-0.06764,0.03399,-0.1692,-0.2905,-0.403, 0.00, 0.00, 0.00, 0.00, 0.00,1,0,1,1.606
274,1,1,499303,0.3295,0.8512,0.14779, 84117,23916,108032,37455,60541,79405,100526,0.3821,0.1086,0.4907,0.7786,0.6919,0.7426,0.6409,0.5764,0.5180,4,4,4,4,4,-0.06764,0.03399,-0.1692,-0.2905,-0.403, 0.00, 0.00, 0.00, 0.00, 0.00,0,0,1,1.863
274,1,2,268021,0.3295,0.8512,0.41685, 57042,18664, 75706,20902,34548,44230, 57123,0.4087,0.1337,0.5425,0.7535,0.7319,0.7837,0.6867,0.6312,0.5700,4,4,4,4,4,-0.06764,0.03399,-0.1692,-0.2905,-0.403, 0.00, 0.00, 0.00, 0.00, 0.00,0,0,1,1.863
274,1,3,415344,0.3295,0.8512,0.08327, 86180,27874,114054,31336,54620,68989, 86135,0.4094,0.1324,0.5419,0.7556,0.7334,0.7845,0.6762,0.6231,0.5697,4,4,4,4,4,-0.06764,0.03399,-0.1692,-0.2905,-0.403, 0.00, 0.00, 0.00, 0.00, 0.00,0,0,1,1.863
274,1,4,319534,0.3295,0.8512,0.07028, 59739,16960, 76699,24085,38632,52132, 64464,0.4025,0.1143,0.5168,0.7789,0.7127,0.7610,0.6650,0.5954,0.5433,4,4,4,4,4,-0.06764,0.03399,-0.1692,-0.2905,-0.403, 0.00, 0.00, 0.00, 0.00, 0.00,0,0,1,1.863
277,1,1,349091,0.2131,0.8452,0.25629, 81876,25177,107053,30816,50311,64096, 81231,0.4148,0.1276,0.5424,0.7649,0.7266,0.7765,0.6803,0.6255,0.5686,4,4,4,4,4,-0.06764,0.03399,-0.1692,-0.2905,-0.403, 0.00, 0.00, 0.00, 0.00, 0.00,0,0,0,1.372
277,1,2,455580,0.2131,0.8452,0.30960, 71502,20287, 91789,31745,51608,68469, 87258,0.3775,0.1071,0.4846,0.7790,0.6925,0.7430,0.6401,0.5728,0.5127,4,4,4,4,4,-0.06764,0.03399,-0.1692,-0.2905,-0.403, 0.00, 0.00, 0.00, 0.00, 0.00,0,0,0,1.372
277,1,3,365487,0.2131,0.8452,0.11078, 75984,24898,100883,27314,47819,60310, 75438,0.4097,0.1342,0.5439,0.7532,0.7356,0.7870,0.6784,0.6259,0.5722,4,4,4,4,4,-0.06764,0.03399,-0.1692,-0.2905,-0.403, 0.00, 0.00, 0.00, 0.00, 0.00,0,0,0,1.372
277,1,4,332044,0.2131,0.8452,0.05545, 57715,17052, 74767,23902,38602,51880, 64322,0.3943,0.1165,0.5108,0.7720,0.7072,0.7578,0.6595,0.5904,0.5376,4,4,4,4,4,-0.06764,0.03399,-0.1692,-0.2905,-0.403, 0.00, 0.00, 0.00, 0.00, 0.00,0,0,0,1.372
279,1,1,455580,0.2131,0.8452,0.30960, 71502,20287, 91789,31745,51608,68469, 87258,0.3775,0.1071,0.4846,0.7790,0.6925,0.7430,0.6401,0.5728,0.5127,4,4,4,4,4,-0.06764,0.03399,-0.1692,-0.2905,-0.403, 0.00, 0.00, 0.00, 0.00, 0.00,0,0,0,1.372
279,1,2,349091,0.2131,0.8452,0.25629, 81876,25177,107053,30816,50311,64096, 81231,0.4148,0.1276,0.5424,0.7649,0.7266,0.7765,0.6803,0.6255,0.5686,4,4,4,4,4,-0.06764,0.03399,-0.1692,-0.2905,-0.403, 0.00, 0.00, 0.00, 0.00, 0.00,0,0,0,1.372
279,1,3,365487,0.2131,0.8452,0.11078, 75984,24898,100883,27314,47819,60310, 75438,0.4097,0.1342,0.5439,0.7532,0.7356,0.7870,0.6784,0.6259,0.5722,4,4,4,4,4,-0.06764,0.03399,-0.1692,-0.2905,-0.403, 0.00, 0.00, 0.00, 0.00, 0.00,0,0,0,1.372
279,1,4,332044,0.2131,0.8452,0.05545, 57715,17052, 74767,23902,38602,51880, 64322,0.3943,0.1165,0.5108,0.7720,0.7072,0.7578,0.6595,0.5904,0.5376,4,4,4,4,4,-0.06764,0.03399,-0.1692,-0.2905,-0.403, 0.00, 0.00, 0.00, 0.00, 0.00,0,0,0,1.372
290,1,1,499303,0.3295,0.8452,0.14779, 84117,23916,108032,37455,60541,79405,100526,0.3821,0.1086,0.4907,0.7786,0.6919,0.7426,0.6409,0.5764,0.5180,4,4,4,4,4,-0.06764,0.03399,-0.1692,-0.2905,-0.403, 0.00, 0.00, 0.00, 0.00, 0.00,0,0,0,1.635
290,1,2,305368,0.3295,0.8452,0.35963, 69261,21548, 90809,25107,41378,53161, 67963,0.4156,0.1293,0.5449,0.7628,0.7340,0.7834,0.6870,0.6308,0.5720,4,4,4,4,4,-0.06764,0.03399,-0.1692,-0.2905,-0.403, 0.00, 0.00, 0.00, 0.00, 0.00,0,0,0,1.635
290,1,3,365487,0.3295,0.8452,0.11078, 75984,24898,100883,27314,47819,60310, 75438,0.4097,0.1342,0.5439,0.7532,0.7356,0.7870,0.6784,0.6259,0.5722,4,4,4,4,4,-0.06764,0.03399,-0.1692,-0.2905,-0.403, 0.00, 0.00, 0.00, 0.00, 0.00,0,0,0,1.635
290,1,4,332044,0.3295,0.8452,0.05545, 57715,17052, 74767,23902,38602,51880, 64322,0.3943,0.1165,0.5108,0.7720,0.7072,0.7578,0.6595,0.5904,0.5376,4,4,4,4,4,-0.06764,0.03399,-0.1692,-0.2905,-0.403, 0.00, 0.00, 0.00, 0.00, 0.00,0,0,0,1.635
334,1,1,455580,0.2486,0.8393,0.30960, 71502,20287, 91789,31745,51608,68469, 87258,0.3775,0.1071,0.4846,0.7790,0.6925,0.7430,0.6401,0.5728,0.5127,4,4,4,4,4,-0.06764,0.03399,-0.1692,-0.2905,-0.403, 0.00, 0.00, 0.00, 0.00, 0.00,0,0,1,1.614
334,1,2,282187,0.2486,0.8393,0.06264, 47520,14076, 61596,19880,31802,43202, 53624,0.3916,0.1160,0.5076,0.7715,0.7051,0.7560,0.6595,0.5878,0.5346,4,4,4,4,4,-0.06764,0.03399,-0.1692,-0.2905,-0.403, 0.00, 0.00, 0.00, 0.00, 0.00,0,0,1,1.614
334,1,3,350723,0.2486,0.8393,0.08147, 71263,23729, 94991,24777,44869,56916, 71226,0.4075,0.1357,0.5431,0.7502,0.7420,0.7931,0.6792,0.6253,0.5715,4,4,4,4,4,-0.06764,0.03399,-0.1692,-0.2905,-0.403, 0.00, 0.00, 0.00, 0.00, 0.00,0,0,1,1.614
334,1,4,413712,0.2486,0.8393,0.25477, 96793,29322,126115,37375,60062,76169, 96140,0.4155,0.1259,0.5413,0.7675,0.7215,0.7714,0.6774,0.6235,0.5674,4,4,4,4,4,-0.06764,0.03399,-0.1692,-0.2905,-0.403, 0.00, 0.00, 0.00, 0.00, 0.00,0,0,1,1.614
339,1,1,455580,0.2486,0.8512,0.30960, 71502,20287, 91789,31745,51608,68469, 87258,0.3775,0.1071,0.4846,0.7790,0.6925,0.7430,0.6401,0.5728,0.5127,4,4,4,4,4,-0.06764,0.03399,-0.1692,-0.2905,-0.403, 0.00, 0.00, 0.00, 0.00, 0.00,0,0,1,1.627
339,1,2,282187,0.2486,0.8512,0.06264, 47520,14076, 61596,19880,31802,43202, 53624,0.3916,0.1160,0.5076,0.7715,0.7051,0.7560,0.6595,0.5878,0.5346,4,4,4,4,4,-0.06764,0.03399,-0.1692,-0.2905,-0.403, 0.00, 0.00, 0.00, 0.00, 0.00,0,0,1,1.627
339,1,3,305368,0.2486,0.8512,0.35963, 69261,21548, 90809,25107,41378,53161, 67963,0.4156,0.1293,0.5449,0.7628,0.7340,0.7834,0.6870,0.6308,0.5720,4,4,4,4,4,-0.06764,0.03399,-0.1692,-0.2905,-0.403, 0.00, 0.00, 0.00, 0.00, 0.00,0,0,1,1.627
339,1,4,459067,0.2486,0.8512,0.09431, 98794,31503,130298,37045,63553,79924, 99403,0.4095,0.1306,0.5401,0.7582,0.7273,0.7786,0.6722,0.6198,0.5673,4,4,4,4,4,-0.06764,0.03399,-0.1692,-0.2905,-0.403, 0.00, 0.00, 0.00, 0.00, 0.00,0,0,1,1.627
